iterations,fitness,time
1940,3303.34165195,2.965849376
1950,3280.18500302,2.980434333
1960,3280.18500302,2.992677843
1970,3309.99691597,3.004421421
1980,3290.33271321,3.016904327
1990,3280.18500302,3.028617661
2000,3280.18500302,3.039611796
2010,3280.18500302,3.051695634
2020,3280.18500302,3.063911633
2030,3280.18500302,3.075853801
2040,3309.99691597,3.084994929
2050,3280.18500302,3.09427028
2060,3280.18500302,3.103029467
2070,3280.18500302,3.114565394
2080,3280.18500302,3.130732627
2090,3280.18500302,3.14162153
2100,3280.18500302,3.15625021
2110,3297.04139897,3.166583719
2120,3309.99691597,3.175318541
2130,3280.18500302,3.183902972
2140,3280.18500302,3.197083282
2150,3309.99691597,3.212894801
2160,3280.18500302,3.225793204
2170,3280.18500302,3.234456208
2180,3303.34165195,3.244632321
2190,3280.18500302,3.258261474
2200,3280.18500302,3.270601788
2210,3299.46315923,3.281413129
2220,3280.18500302,3.293355991
2230,3280.18500302,3.308928658
2240,3280.18500302,3.318367195
2250,3299.46315923,3.327696702
2260,3316.72021862,3.347128365
2270,3280.18500302,3.358197014
2280,3299.46315923,3.368184953
2290,3297.35714826,3.382744758
2300,3326.49830087,3.396922306
2310,3280.18500302,3.417496403
2320,3280.18500302,3.429005018
2330,3299.46315923,3.440183673
2340,3280.18500302,3.449285944
2350,3313.89779492,3.459995143
2360,3280.18500302,3.470362135
2370,3280.18500302,3.4829237
2380,3326.49830087,3.49738542
2390,3280.18500302,3.510137752
2400,3280.18500302,3.529539424
2410,3280.18500302,3.54998315
2420,3326.49830087,3.568376062
2430,3280.18500302,3.589496545
2440,3280.18500302,3.609942217
2450,3313.89779492,3.623108609
2460,3297.44206241,3.635153671
2470,3280.18500302,3.646839053
2480,3280.18500302,3.658187964
2490,3280.18500302,3.671779824
2500,3280.18500302,3.682753755
2510,3280.18500302,3.698590683
2520,3280.18500302,3.707836877
2530,3280.18500302,3.716483873
2540,3280.18500302,3.726997589
2550,3297.44206241,3.740275158
2560,3280.18500302,3.755953597
2570,3303.34165195,3.766724807
2580,3309.99691597,3.776594223
2590,3280.18500302,3.786475284
2600,3280.18500302,3.795166263
2610,3309.99691597,3.810093407
2620,3280.18500302,3.822713239
2630,3280.18500302,3.845169692
2640,3280.18500302,3.889322979
2650,3280.18500302,3.909664201
2660,3280.18500302,3.921591112
2670,3319.39287217,3.934150386
2680,3280.18500302,3.942840701
2690,3280.18500302,3.951432107
2700,3280.18500302,3.965342578
2710,3280.18500302,3.980896627
2720,3280.18500302,3.992441875
2730,3280.18500302,4.00896463
2740,3280.18500302,4.02075464
2750,3280.18500302,4.031534862
2760,3280.18500302,4.040116961
2770,3280.18500302,4.054248429
2780,3280.18500302,4.067249244
2790,3280.18500302,4.0764679
2800,3280.18500302,4.08890152
